id,user1_stance1,user1_comment,user1_confidence,user1_time,annotator_id,user2_stance1,user2_comment,user2_confidence,user2_time,user2_annotator_id
1334798555345793027,anti,,4,38.857,user_11,irrelevant,,5.0,97.306,user_10
1334943611251671041,irrelevant,,3,11.455,user_5,anti,Using hashtags that suggest the user might want to have an option to not get vaccinated.,5.0,34.168,user_4
1335153117751545857,hesitant,,4,6.8,user_1,irrelevant,,5.0,10.35,user_2
1335237581773090818,hesitant,,5,13.17,user_5,anti,,5.0,16.359,user_6
1335591794843774979,anti,,5,83.446,user_8,anti,not explicitly against or hesitant because it is directing others,2.0,61.562,user_7
1335889249422360578,irrelevant,,5,37.966,user_1,pro,,5.0,10.333,user_2
1336336796389535744,hesitant,,5,9.818,user_2,anti,,4.0,7.498,user_1
1336444274892791814,irrelevant,,5,81.911,user_10,pro,,5.0,33.917,user_11
1336718780710391809,irrelevant,,5,62.494,user_4,pro,,4.0,49.633,user_6
1337493620258123779,pro,,4,114.709,user_7,hesitant,,4.0,38.472,user_9
1338136737445412869,anti,,5,32.106,user_7,irrelevant,,5.0,49.648,user_9
1338194811300417536,anti,Possibly sarcasm and unsure over intent of tweets meaning,2,37.86,user_7,hesitant,,4.0,23.0,user_9
1339289871228268547,irrelevant,,5,15.867,user_10,anti,,4.0,77.212,user_12
1340996185516072960,hesitant,,5,15.337,user_15,anti,,5.0,7.252,user_14
1341409791416131587,anti,"link won't load, probably anti vaxx 'exposing the truth about a virus' sounds conspiritorial",3,49.965,user_1,hesitant,URL was unavailable,5.0,43.519,user_2
1341713704061198337,anti,"Happy CRISPR = pro, but Happy New Fear... = anti ",2,104.183,user_8,anti,,5.0,61.085,user_7
1344221916131971072,anti,so confusing,2,146.067,user_14,irrelevant,,5.0,31.039,user_13
1344324944507908096,irrelevant,The tweet talks about UK lockdown regulations but not about the user's vaccine stance.,5,63.599,user_4,pro,,4.0,28.957,user_5
1346081850045812736,irrelevant,"Seems to just be asking for data, not expressing opinion",3,96.109,user_11,hesitant,,4.0,75.682,user_12
1346101698788433920,hesitant,Could be to convince hesitant people that they are being overly mistrusting of something they are usually very trusting over. May also be worrying themselves about it's untrustworthiness.,3,103.868,user_7,irrelevant,,5.0,49.121,user_9
1346501736031260678,pro,"The tweet is talking about conspiracy theories loosely related to the vaccine, but it could feasibly be seen as irrelevant as they don't explicitly state their opinion.",3,198.4,user_7,irrelevant,,5.0,40.071,user_9
1346750267925139458,irrelevant,this could be about vaccines but i really dont get it,2,152.366,user_8,irrelevant,,5.0,43.519,user_7
1348184565777629184,pro,,5,23.188,user_9,irrelevant,,4.0,37.851,user_8
1348670536663109632,anti,,5,54.075,user_4,hesitant,,4.0,16.263,user_6
1349289148167970817,anti,Potentially a sarcasm tweet,3,69.732,user_10,irrelevant,Likely joke,3.0,47.748,user_11
1350080003329978368,irrelevant,,4,63.642,user_9,pro,,4.0,151.242,user_8
1355209176767672322,pro,,4,42.008,user_12,irrelevant,,5.0,18.238,user_10
1355539094621749249,pro,,4,35.603,user_12,irrelevant,,5.0,12.241,user_10
1356346152363425795,hesitant,"User is asking for people's opinions on the vaccine, so they might be hesitant to get vaccinated or not.",5,48.823,user_4,irrelevant,,5.0,43.833,user_5
1356648520573313026,irrelevant,Not clear what is very good news,4,26.261,user_6,pro,Unsure what the news is in response to,2.0,18.441,user_5
1357637916391051265,hesitant,,5,24.292,user_10,irrelevant,,4.0,75.362,user_12
1358512940429754376,pro,,4,11.571,user_8,irrelevant,,5.0,15.15,user_9
1359555390405545985,anti,,5,15.61,user_6,anti,"Could be sarcastic response about the Tory party, or alternatively actually telling people to do what they're told (ie. get the vaccine)",2.0,61.938,user_5
1361621552253526016,irrelevant,,5,16.562,user_9,anti,,5.0,23.416,user_7
1361748487960989698,pro,,4,47.518,user_12,irrelevant,,5.0,13.426,user_10
1362458608890388483,irrelevant,,5,24.627,user_10,pro,,5.0,15.498,user_11
1362829886264639494,irrelevant,,5,17.513,user_7,hesitant,,4.0,268.152,user_9
1363061014674219009,hesitant,,5,30.519,user_12,irrelevant,,4.0,32.995,user_11
1363896600289042433,pro,,5,14.107,user_10,hesitant,,4.0,50.138,user_12
1364565783100207113,hesitant,"The user is curious and provides a link to an informative website. I believe they are vaccine hesitant, but they could also be a pro- or anti-vaxxer.",4,101.888,user_4,irrelevant,,3.0,57.568,user_6
1369745629300277252,pro,,5,6375.866,user_12,irrelevant,Unclear stance on side effects,2.0,23.964,user_11
1370477734649069568,anti,,5,15.345,user_10,hesitant,,4.0,336.727,user_12
1370800559549247491,irrelevant,,5,18.149,user_7,hesitant,,5.0,22.537,user_9
1371083356889350146,pro,"Even though the user is suffering of vaccine symptoms, they still explicitely say they have been vaccinated, so they are pro-vaxx.",5,41.221,user_4,hesitant,"Would make others feel hesitant, author not necessarily hesitant (but for sure pro-, at least before the adverse effect)",2.0,92.219,user_6
1371185488145571840,hesitant,,5,9.397,user_15,anti,,5.0,103.908,user_14
1372173000183791619,irrelevant,"not sure if it has a tendency, not sure what ""mfs"" is referring to",3,149.047,user_9,anti,,4.0,5.658,user_8
1372174415513841664,anti,,3,23.202,user_13,pro,,4.0,44.713,user_14
1372584368653234180,pro,,4,12.526,user_13,irrelevant,probably a joke,2.0,11.991,user_14
1373015797182967811,irrelevant,,5,7.766,user_4,anti,,3.0,12.973,user_6
1373583368567263232,anti,,5,20.487,user_13,hesitant,,5.0,148.608,user_15
1374032166053584897,irrelevant,Not enough context to discern the user's vaccine stance.,5,24.422,user_4,pro,,2.0,23.346,user_5
1374499520990511112,pro,,4,9.306,user_8,irrelevant,,5.0,25.019,user_9
1374698823818350596,irrelevant,,5,20.962,user_7,hesitant,,4.0,39.224,user_9
1374825826735288323,irrelevant,,2,147.998,user_13,irrelevant,,5.0,16.573,user_14
1375390330942545926,irrelevant,,4,53.071,user_13,hesitant,,5.0,69.731,user_15
1375413510876790788,pro,,5,62.426,user_16,irrelevant,,5.0,91.682,user_17
1376815733603196930,irrelevant,,4,65.235,user_17,anti,,5.0,19.208,user_16
1376892902748590080,anti,,5,15.079,user_4,hesitant,,3.0,29.909,user_6
1377018044837462016,hesitant,Unsure,5,12.984,user_2,pro,worried that fake vaccine cards will lead to infection. ,3.0,19.799,user_1
1377249834671947777,irrelevant,,5,16.106,user_10,anti,,4.0,12.318,user_11
1377357311534977025,anti,"Suggesting adverse side effects to the vaccine potentially, but not clear",2,36.804,user_5,pro,,4.0,23.095,user_6
1377948081275215880,pro,,4,18.944,user_8,irrelevant,,4.0,56.774,user_7
1378105195016683529,irrelevant,,5,74.748,user_10,irrelevant,"Tweet does appear to be mostly relating to vaccine passports, whilst the author acknowledges the vaccines themselves are fine",2.0,66.055,user_11
1379191477016858631,anti,,4,28.794,user_8,irrelevant,It's not mainly about vaccine. Just freedom and lockdown,3.0,209.094,user_9
1379490840578560003,hesitant,"Can't access the contents of the link outside the US. However, from the tweet it seems that the user wants to share the vaccine ingredients with other people, but can't discern if they are pro or anti-vaxx.",5,112.711,user_4,pro,Link doesn't open outside US (used Tor to open it). It is from a healthcare organisation with info about the vaccine.,5.0,683.064,user_6
1379910577900957698,irrelevant,,5,12.81,user_2,pro,wants critically ill people to be given vaccine,3.0,24.066,user_1
1379916876382371843,pro,implies that anti vaccine videos will be really bad,3,22.416,user_1,irrelevant,,5.0,17.871,user_2
1380154542407438344,irrelevant,,3,53.184,user_6,anti,,5.0,46.39,user_4
1380296183906664450,pro,,5,17.71,user_2,irrelevant,,5.0,11.599,user_1
1380970859397926914,pro,,4,6.76,user_8,hesitant,,4.0,16.72,user_9
1381195091071672325,pro,,5,9.902,user_2,irrelevant,,4.0,20.098,user_1
1381306091120771072,irrelevant,,5,85.104,user_14,pro,,5.0,39.697,user_13
1381365933252435969,anti,,5,46.889,user_11,irrelevant,,5.0,84.52,user_10
1381946106037211137,hesitant,,5,10.55,user_15,anti,,4.0,110.39,user_14
1381992536097624064,pro,,5,24.262,user_6,hesitant,,4.0,18.398,user_5
1382271071706042368,pro,confusing,2,212.131,user_8,irrelevant,,5.0,48.869,user_9
1382306689496584192,irrelevant,"No specific stance, only said that they're not vaccinated themselves",4,142.965,user_6,hesitant,This person is being sarcastic so it's difficult to see if they are hesitant or pro-vaxx.,4.0,65.957,user_4
1382351402995961862,irrelevant,,3,40.382,user_16,pro,,4.0,165.289,user_17
1382619513091461120,pro,,2,74.149,user_15,anti,,5.0,8.055,user_14
1382770342133895169,hesitant,,3,205.241,user_17,irrelevant,,5.0,46.583,user_16
1383105225876238341,hesitant,,5,19.839,user_4,hesitant,Context missing,2.0,265.803,user_6
1383114848419020802,pro,,2,175.63,user_15,pro,,5.0,21.54,user_13
1383827508085153800,irrelevant,,5,16.56,user_16,pro,,4.0,44.579,user_17
1383850124439220231,pro,,3,12.993,user_5,irrelevant,"I believe the user is explaining how the vaccine works in simple terms, but not explicitely stating their vaccine stance.",5.0,942.823,user_4
1383885426188951556,anti,,2,44.554,user_13,irrelevant,,5.0,39.585,user_14
1383895426189828101,pro,,4,28.197,user_7,hesitant,,5.0,70.245,user_9
1384136455568592897,anti,,5,7.391,user_14,hesitant,,5.0,44.966,user_15
1384180840272306179,pro,confusing joke i guess,2,23.449,user_14,pro,,3.0,19.612,user_15
1384591600899272706,pro,,4,15.079,user_17,irrelevant,,5.0,17.264,user_16
1384880093219246083,pro,,4,28.323,user_10,irrelevant,,5.0,8.781,user_11
1385344262846492680,irrelevant,not sure about this,2,91.953,user_12,irrelevant,No opinion on vaccine itself,4.0,24.791,user_11
1385706942673440772,irrelevant,could be any vaccine really,2,15.295,user_14,pro,,5.0,9.171,user_15
